Dates,RF Actual Level (mm),Last 10 Year Average (m bgl),Last Year  (m bgl),Current Level (m bgl)
"02-May-2014",9.75,NaN,"-","-"
"03-May-2014",21.98,NaN,"-","-"
"04-May-2014",9.93,NaN,"-","-"
"05-May-2014",1.76,NaN,"-","-"
"06-May-2014",0.14,NaN,"-","-"
"07-May-2014",1.77,NaN,"-","-"
"08-May-2014",3.05,NaN,"-","-"
"09-May-2014",43.41,NaN,"-","-"
"10-May-2014",0.61,NaN,"-","-"
"11-May-2014",8.66,NaN,"-","-"
"12-May-2014",0.46,NaN,"-","-"
"13-May-2014",0,NaN,"-","-"
"14-May-2014",0,8.29,10.448312560089315,8.774421626354002
"15-May-2014",0,NaN,"-","-"
"16-May-2014",0,NaN,"-","-"
"17-May-2014",0.08,NaN,"-","-"
"18-May-2014",9.97,NaN,"-","-"
"19-May-2014",0.51,NaN,"-","-"
