Dates,Evapo-Transpiration (mm)
"09-Mar-2019",1.1711832738
"10-Mar-2019",1.1189305998
"11-Mar-2019",1.0492581111
"12-Mar-2019",0.9682416257
"13-Mar-2019",0.9056100435
"14-Mar-2019",0.8402742499
"15-Mar-2019",0.4170723421
"16-Mar-2019",0.3798372565
"17-Mar-2019",0.7718672667
"18-Mar-2019",0.7301510554
"19-Mar-2019",0.6746513984
"20-Mar-2019",0.545662674
"21-Mar-2019",0.9484797947
"22-Mar-2019",1.6853038188
"23-Mar-2019",1.2781362653
"24-Mar-2019",0.7997740413
"25-Mar-2019",0.8341928863
"26-Mar-2019",0.7019954556
"27-Mar-2019",0.1756362867
"28-Mar-2019",0.1721988217
"29-Mar-2019",0.1557502031
"30-Mar-2019",0.1432391276
"31-Mar-2019",0.1999456099
"01-Apr-2019",0.1704011775
"02-Apr-2019",0.0829868813
"03-Apr-2019",0.4272554846
"04-Apr-2019",0.2344701252
"05-Apr-2019",0.1911328929
"06-Apr-2019",0.1993012853
"07-Apr-2019",0.0956403323
"08-Apr-2019",0.2197139319
"09-Apr-2019",0.8336689036
"10-Apr-2019",0.7295798487
"11-Apr-2019",1.3971919511
"12-Apr-2019",1.5470275657
"13-Apr-2019",1.4282193327
"14-Apr-2019",1.2938230864
"15-Apr-2019",1.1331694413
"16-Apr-2019",1.0619514574
"17-Apr-2019",0.7258278432
"18-Apr-2019",3.5423272601
"19-Apr-2019",4.3308776957
"20-Apr-2019",3.2393377099
"21-Apr-2019",3.1990802056
"22-Apr-2019",3.414143511
"23-Apr-2019",3.8027792349
"24-Apr-2019",4.0024151392
"25-Apr-2019",4.1497795751
"26-Apr-2019",4.0454376114
"27-Apr-2019",2.8787375504
"28-Apr-2019",2.7237122213
"29-Apr-2019",1.7068114864
"30-Apr-2019",2.4487326148
"01-May-2019",2.1959967201
"02-May-2019",3.3788998073
"03-May-2019",3.2950721538
"04-May-2019",3.129451151
"05-May-2019",2.6654252612
"06-May-2019",2.5010805279
"07-May-2019",1.035314813
"08-May-2019",1.7487407641
"09-May-2019",2.8960652191
"10-May-2019",3.0563282357
"11-May-2019",1.8801298011
"12-May-2019",2.1204215631
"13-May-2019",2.2695987666
"14-May-2019",1.1092900412
"15-May-2019",2.0482529519
"16-May-2019",2.9198005353
"17-May-2019",2.4884513585
"18-May-2019",3.8007785628
"19-May-2019",4.0447888253
"20-May-2019",3.5777876792
"21-May-2019",2.6925892959
"22-May-2019",3.658521976
"23-May-2019",2.3983599758
"24-May-2019",3.1211396459
"25-May-2019",3.7100001559
"26-May-2019",3.5025077757
"27-May-2019",4.0674113349
"28-May-2019",3.2105721871
"29-May-2019",3.4056998626
"30-May-2019",3.3014221704
"31-May-2019",2.340297588
"01-Jun-2019",2.5600560764
