Dates,Evapo-Transpiration (mm)
"05-Mar-2019",0.3855190247
"06-Mar-2019",0.6955998182
"07-Mar-2019",0.6616790684
"08-Mar-2019",0.6281087868
"09-Mar-2019",0.583094014
"10-Mar-2019",0.5493018668
"11-Mar-2019",0.490943706
"12-Mar-2019",0.5233985469
"13-Mar-2019",0.5088648855
"14-Mar-2019",0.5001060706
"15-Mar-2019",0.2482496811
"16-Mar-2019",0.2478848252
"17-Mar-2019",0.4938066797
"18-Mar-2019",0.4887680778
"19-Mar-2019",0.4638388711
"20-Mar-2019",0.3715360335
"21-Mar-2019",0.7608802744
"22-Mar-2019",1.1447258206
"23-Mar-2019",0.7347561256
"24-Mar-2019",0.5927339142
"25-Mar-2019",0.590232325
"26-Mar-2019",0.5690513836
"27-Mar-2019",0.0767949077
"28-Mar-2019",0.0719558639
"29-Mar-2019",0.0614777381
"30-Mar-2019",0.0878514688
"31-Mar-2019",0.0700972934
"01-Apr-2019",0.078627364
"02-Apr-2019",0.2386241078
"03-Apr-2019",0.6314669001
"04-Apr-2019",0.4416936056
"05-Apr-2019",0.4739187322
"06-Apr-2019",0.435195762
"07-Apr-2019",0.1796206951
"08-Apr-2019",0.8233746084
"09-Apr-2019",1.3882721613
"10-Apr-2019",1.8570945714
"11-Apr-2019",2.0416002346
"12-Apr-2019",2.0812097334
"13-Apr-2019",1.8461539571
"14-Apr-2019",1.7775572223
"15-Apr-2019",1.5896459653
"16-Apr-2019",1.4098681373
"17-Apr-2019",1.0944904021
"18-Apr-2019",2.8939019263
"19-Apr-2019",1.9944439298
"20-Apr-2019",1.7797933026
"21-Apr-2019",1.6579410831
"22-Apr-2019",1.7625099408
"23-Apr-2019",1.3529692784
"24-Apr-2019",1.6113060731
"25-Apr-2019",1.4984077082
"26-Apr-2019",1.3831633939
"27-Apr-2019",1.0402791705
"28-Apr-2019",1.1286716699
"29-Apr-2019",0.7494542738
"30-Apr-2019",1.1510186696
"01-May-2019",1.2320553599
"02-May-2019",1.7887326766
"03-May-2019",1.5389175984
"04-May-2019",1.4200276416
"05-May-2019",1.2056280019
"06-May-2019",1.2169887815
"07-May-2019",1.5407407616
"08-May-2019",2.2023761259
"09-May-2019",2.6015109058
"10-May-2019",2.4243514535
"11-May-2019",1.6588453246
"12-May-2019",1.7027314724
"13-May-2019",2.1123760926
"14-May-2019",1.0070959972
"15-May-2019",1.8299688447
"16-May-2019",2.3699110077
"17-May-2019",2.8389577176
"18-May-2019",3.3696976028
"19-May-2019",4.4821974905
"20-May-2019",3.000770777
"21-May-2019",2.9922579666
"22-May-2019",2.940309393
"23-May-2019",3.3477411569
"24-May-2019",3.2840859892
"25-May-2019",4.6372794729
"26-May-2019",4.3888464113
"27-May-2019",4.0199040512
"28-May-2019",3.1436780312
"29-May-2019",3.6541165481
"30-May-2019",3.2309321952
"31-May-2019",2.5328984293
"01-Jun-2019",2.421055824
"02-Jun-2019",3.541817687
"03-Jun-2019",2.4151640891
"04-Jun-2019",2.5259114713
"05-Jun-2019",4.6961027011
"06-Jun-2019",4.105148769
"07-Jun-2019",4.293920945
"08-Jun-2019",2.8665846594
"09-Jun-2019",2.7734476292
"10-Jun-2019",2.5096342158
"11-Jun-2019",0.5712185128
"12-Jun-2019",2.0553813896
"13-Jun-2019",1.8926808853
"14-Jun-2019",2.84452086
"15-Jun-2019",2.7722034681
"16-Jun-2019",3.1108582216
"17-Jun-2019",2.6685130811
"18-Jun-2019",3.1336450774
"19-Jun-2019",3.3036137466
"20-Jun-2019",1.6177155576
"21-Jun-2019",0.8565239117
"22-Jun-2019",1.8432372439
"23-Jun-2019",1.8524879414
"24-Jun-2019",2.8438061227
"25-Jun-2019",2.6157738227
"26-Jun-2019",3.0792573596
"27-Jun-2019",2.8562631808
"28-Jun-2019",2.6288849703
"29-Jun-2019",1.9627024444
"30-Jun-2019",2.4347964748
"01-Jul-2019",3.4945671335
"02-Jul-2019",0.9434358277
"03-Jul-2019",2.1983976352
"04-Jul-2019",3.461810046
"05-Jul-2019",3.0013642298
"06-Jul-2019",2.5494039946
"07-Jul-2019",2.4781979664
"08-Jul-2019",3.3503797439
"09-Jul-2019",2.9804574758
"10-Jul-2019",2.7989823962
"11-Jul-2019",2.8937587268
"12-Jul-2019",3.4323854159
"13-Jul-2019",2.9746620203
"14-Jul-2019",2.8052155888
"15-Jul-2019",1.8819886094
"16-Jul-2019",2.0468299592
"17-Jul-2019",2.850106451
"18-Jul-2019",3.1068154471
"19-Jul-2019",2.545992563
"20-Jul-2019",1.7378503499
"21-Jul-2019",1.5230070284
"22-Jul-2019",1.3337139304
"23-Jul-2019",1.959797428
"24-Jul-2019",2.6968441889
"25-Jul-2019",2.276790978
"26-Jul-2019",2.9725534259
"27-Jul-2019",3.4883967304
"28-Jul-2019",2.0138082063
"29-Jul-2019",2.7946513144
"30-Jul-2019",2.7344153679
"31-Jul-2019",3.6980152018
"01-Aug-2019",3.7501780371
"02-Aug-2019",2.8380593327
"03-Aug-2019",3.4935995266
"04-Aug-2019",3.1795232524
"05-Aug-2019",2.2982273278
"06-Aug-2019",1.3443206347
"07-Aug-2019",1.4350898552
"08-Aug-2019",2.2215958368
"09-Aug-2019",1.9997761672
"10-Aug-2019",2.7406488998
"11-Aug-2019",3.9361337321
"12-Aug-2019",2.3085073235
"13-Aug-2019",2.9523552027
"14-Aug-2019",2.0961186812
"15-Aug-2019",3.2721114754
"16-Aug-2019",2.7572909151
"17-Aug-2019",3.2122352411
"18-Aug-2019",3.1593186663
"19-Aug-2019",3.4367938985
"20-Aug-2019",3.1627184558
"21-Aug-2019",3.368769367
"22-Aug-2019",3.2938068097
"23-Aug-2019",3.6457313254
"24-Aug-2019",2.7304142385
"25-Aug-2019",4.2861452605
"26-Aug-2019",1.5836164142
"27-Aug-2019",1.456436492
"29-Aug-2019",4.1703421787
"30-Aug-2019",3.2763546528
"31-Aug-2019",3.5541892051
"01-Sep-2019",2.7761252909
"02-Sep-2019",2.4487887534
"03-Sep-2019",1.2879710354
"04-Sep-2019",2.2281024674
"05-Sep-2019",2.1587387602
"06-Sep-2019",2.5617784311
"07-Sep-2019",2.8427143548
"08-Sep-2019",2.536754788
"09-Sep-2019",2.8842137047
"10-Sep-2019",3.236512276
"11-Sep-2019",1.4039868189
"12-Sep-2019",1.5630132229
"13-Sep-2019",4.1599399128
"14-Sep-2019",3.7548086249
"15-Sep-2019",4.3185513275
"16-Sep-2019",3.3154480953
"17-Sep-2019",2.3527143416
"18-Sep-2019",2.827336148
"19-Sep-2019",2.9816748115
"20-Sep-2019",3.9569036201
"21-Sep-2019",4.201211196
"22-Sep-2019",3.1307973763
"23-Sep-2019",3.1280918379
"24-Sep-2019",4.3834863453
"25-Sep-2019",2.6789217312
"26-Sep-2019",2.6575178432
"27-Sep-2019",4.1791978914
"28-Sep-2019",3.6960470118
"29-Sep-2019",4.1086364438
"30-Sep-2019",3.2834793405
"01-Oct-2019",2.897596002
"02-Oct-2019",3.798747596
"03-Oct-2019",3.0453691859
"04-Oct-2019",2.7014182427
"05-Oct-2019",3.0305594084
"06-Oct-2019",3.2423805188
"07-Oct-2019",2.7984209024
"08-Oct-2019",2.0371241222
"09-Oct-2019",2.5670427612
"10-Oct-2019",2.2864938185
"11-Oct-2019",2.8200773824
"12-Oct-2019",3.1882499499
"13-Oct-2019",3.0044071698
"14-Oct-2019",3.7426454294
"15-Oct-2019",2.4997307597
"16-Oct-2019",2.2269087016
"17-Oct-2019",2.3983456849
"18-Oct-2019",2.4782007053
"19-Oct-2019",3.3181700131
"20-Oct-2019",2.2916217552
"21-Oct-2019",2.1946944859
"22-Oct-2019",2.601897442
"23-Oct-2019",2.2509136367
"24-Oct-2019",2.8020679522
"25-Oct-2019",2.1108061237
"26-Oct-2019",2.3348855009
"27-Oct-2019",2.2140927277
"28-Oct-2019",3.1741073032
"29-Oct-2019",2.2698246927
"30-Oct-2019",2.6427459301
"31-Oct-2019",1.8011213604
"01-Nov-2019",3.2358388195
"02-Nov-2019",3.3558741213
"03-Nov-2019",2.7233051795
