Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level (m),Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"06-May-2004",735.95,734.24,736.8375,752.5,0.03525,0,0
"07-May-2004",735.97,734.22,736.9425,752.5,0.034,0,0
"08-May-2004",735.99,734.19,736.8775,752.5,0.0305,0,0
"09-May-2004",736,734.17,736.795,752.5,0.026,0,0
"10-May-2004",736.03,734.15,736.61,752.5,0.02425,0,0
"11-May-2004",736.18,734.13,736.5275,752.5,0.02225,0,0
"12-May-2004",736.31,734.55,736.565,752.5,0.0205,0,0
"13-May-2004",736.39,734.73,736.525,752.5,0.01875,0,0
"14-May-2004",736.45,734.73,736.5175,752.5,0.01775,0,0
"15-May-2004",736.5,734.69,736.5,752.5,0.01725,0,0
"16-May-2004",736.56,734.64,736.495,752.5,0.017,0,0
"17-May-2004",736.63,734.6,736.4975,752.5,0.01675,0,0
"18-May-2004",736.66,734.54,736.485,752.5,0.0165,0,0
"19-May-2004",736.67,734.48,736.465,752.5,0.016,0,0
"20-May-2004",736.72,734.57,736.4925,752.5,0.01575,0,0
"21-May-2004",736.78,734.58,736.48,752.5,0.0145,0,0
"22-May-2004",737,734.58,736.4875,752.5,0.01275,0,0
"23-May-2004",737.17,734.53,736.4775,752.5,0.0125,0,0.005
"24-May-2004",737.27,734.47,736.4675,752.5,0.01225,0,0.009
"25-May-2004",737.34,734.45,736.3975,752.5,0.011,0,0.011
"26-May-2004",737.43,734.41,736.3675,752.5,0.01025,0,0.014
"27-May-2004",737.53,734.38,736.3475,752.5,0.01,0,0.018
"28-May-2004",737.66,734.36,736.3675,752.5,0.01,0,0.023
"29-May-2004",737.81,734.34,736.355,752.5,0.00975,0,0.027
"30-May-2004",737.93,734.31,736.33,752.5,0.00975,0,0.032
"31-May-2004",738.1,734.29,736.345,752.5,0.00975,0,0.039
"01-Jun-2004",738.28,734.27,736.385,752.5,0.0115,0,0.046
"02-Jun-2004",738.48,734.25,736.4,752.5,0.01325,0,0.053
"03-Jun-2004",738.54,734.24,736.4025,752.5,0.01475,0,0.059
"04-Jun-2004",738.65,734.23,736.435,752.5,0.01625,0,0.065
"05-Jun-2004",738.91,734.2,736.5,752.5,0.01775,0,0.071
"06-Jun-2004",739.03,734.19,736.5375,752.5,0.019,0,0.076
"07-Jun-2004",739.05,734.17,736.5475,752.5,0.02,0,0.08
"08-Jun-2004",739.2,734.15,736.575,752.5,0.02075,0,0.083
"09-Jun-2004",739.26,734.13,736.5825,752.5,0.0215,0,0.086
"10-Jun-2004",739.35,734.11,736.635,752.5,0.02225,0,0.089
"11-Jun-2004",739.48,734.1,736.685,752.5,0.02375,0,0.095
"12-Jun-2004",740.54,734.08,736.96,752.5,0.02975,0,0.119
"13-Jun-2004",740.42,734.06,736.9375,752.5,0.0345,0,0.138
"14-Jun-2004",741.54,734.04,737.23,752.5,0.041,0,0.164
"15-Jun-2004",741.66,734.02,737.41,752.5,0.0525,0,0.202
"16-Jun-2004",742.46,734,737.7925,752.5,0.07,0,0.246
"17-Jun-2004",743.33,733.99,738.2825,752.5,0.09525,0,0.304
"18-Jun-2004",744.11,733.97,738.715,752.5,0.11775,0,0.35
"19-Jun-2004",744.73,733.95,738.945,752.5,0.13225,0,0.393
"20-Jun-2004",745.21,733.93,739.09,752.5,0.1425,0,0.428
"21-Jun-2004",745.58,733.92,739.2075,752.5,0.15075,0,0.457
"22-Jun-2004",745.81,733.92,739.2875,752.5,0.156,0,0.474
"23-Jun-2004",745.94,734.18,739.42,752.5,0.15975,0,0.484
"24-Jun-2004",746.02,735.06,739.695,752.5,0.16225,0,0.491
"25-Jun-2004",746.07,735.7,739.9575,752.5,0.166,0,0.496
"26-Jun-2004",746.12,736.32,740.285,752.5,0.1725,0,0.499
"27-Jun-2004",746.14,736.63,740.51,752.5,0.17825,0,0.501
"28-Jun-2004",746.16,736.8,740.6525,752.5,0.18225,0,0.502
"29-Jun-2004",746.13,736.91,740.7,752.5,0.18225,0,0.5
"30-Jun-2004",746.1,737.06,740.7075,752.5,0.181,0.002,0.498
"01-Jul-2004",746.07,737.19,740.7075,752.5,0.18,0.006,0.495
"02-Jul-2004",746.03,737.31,740.655,752.5,0.17725,0.01,0.492
"03-Jul-2004",745.99,737.4,740.595,752.5,0.174,0.013,0.489
"04-Jul-2004",745.95,737.5,740.5325,752.5,0.17075,0.017,0.485
"05-Jul-2004",745.89,737.58,743.555,752.5,0.16925,0.02,0.481
"06-Jul-2004",746.14,737.67,740.5525,752.5,0.17375,0.023,0.5
"07-Jul-2004",746.27,737.98,740.6875,752.5,0.179,0.034,0.503
"08-Jul-2004",746.29,738.43,740.8275,752.5,0.188,0.052,0.513
"09-Jul-2004",746.26,738.78,740.9625,752.5,0.19475,0.066,0.511
"10-Jul-2004",746.26,738.98,741.2625,752.5,0.21075,0.074,0.511
"11-Jul-2004",746.24,739.12,741.5525,752.5,0.23075,0.08,0.506
"12-Jul-2004",746.22,739.22,741.7275,752.5,0.24675,0.084,0.504
"13-Jul-2004",746.19,739.32,741.9025,752.5,0.25925,0.088,0.504
"14-Jul-2004",746.11,739.34,742.0175,752.5,0.2655,0.089,0.498
"15-Jul-2004",746.15,739.22,742.115,752.5,0.26725,0.084,0.494
"16-Jul-2004",746.03,739.13,742.125,752.5,0.26975,0.08,0.491
"17-Jul-2004",746.02,739.27,742.19,752.5,0.273,0.086,0.491
"18-Jul-2004",746.03,739.97,742.42,752.5,0.284,0.117,0.492
"19-Jul-2004",746.05,740.39,742.5625,752.5,0.29175,0.138,0.493
"20-Jul-2004",746.02,740.51,742.605,752.5,0.29325,0.143,0.491
"21-Jul-2004",745.95,740.52,742.5925,752.5,0.292,0.143,0.485
"22-Jul-2004",745.85,740.49,742.5625,752.5,0.28825,0.14,0.478
"23-Jul-2004",745.74,740.37,742.4925,752.5,0.28625,0.136,0.469
"24-Jul-2004",745.64,740.24,742.395,752.5,0.281,0.129,0.461
"25-Jul-2004",745.54,740.15,742.3025,752.5,0.276,0.125,0.454
"26-Jul-2004",745.59,740.09,742.2825,752.5,0.275,0.123,0.457
"27-Jul-2004",745.83,740.06,742.32,752.5,0.278,0.121,0.476
"28-Jul-2004",746.07,740.05,742.3525,752.5,0.28125,0.121,0.494
"29-Jul-2004",746.29,740.04,742.405,752.5,0.285,0.12,0.513
"30-Jul-2004",746.57,740.11,742.475,752.5,0.29075,0.124,0.537
"31-Jul-2004",746.57,740.31,742.535,752.5,0.2935,0.133,0.537
"01-Aug-2004",746.5,740.33,742.5575,752.5,0.29325,0.134,0.53
"02-Aug-2004",746.57,740.28,742.595,752.5,0.29575,0.131,0.536
"03-Aug-2004",746.6,740.19,742.62,752.5,0.29725,0.127,0.538
"04-Aug-2004",746.93,740.13,742.795,752.5,0.309,0.124,0.566
"05-Aug-2004",748.05,740.09,743.18,752.5,0.34175,0.122,0.667
"06-Aug-2004",749.17,740.04,743.5425,752.5,0.37475,0.12,0.776
"07-Aug-2004",750.01,740.12,743.8925,752.5,0.4,0.124,0.865
"08-Aug-2004",750.62,740.21,744.1975,752.5,0.43075,0.128,0.933
"09-Aug-2004",751.01,740.3,744.5275,752.5,0.44925,0.132,0.978
"10-Aug-2004",751.26,740.64,744.7525,752.5,0.463,0.149,1.008
"11-Aug-2004",751.36,740.85,744.9925,752.5,0.48225,0.159,1.02
"12-Aug-2004",751.4,740.91,744.49,752.5,0.49375,0.162,1.025
"13-Aug-2004",751.42,740.86,745.27,752.5,0.50375,0.16,1.027
"14-Aug-2004",751.51,740.72,745.48,752.5,0.51075,0.153,1.038
"15-Aug-2004",751.7,740.58,745.58,752.5,0.52,0.146,1.061
"16-Aug-2004",751.8,740.6,745.6875,752.5,0.52825,0.147,1.074
"17-Aug-2004",751.98,740.61,745.8125,752.5,0.53875,0.147,1.096
