Rainfall - (MM), Year, Statistics, Longitude, Latitude
171, 2003, Oct Average, 76.5724, 12.4255
37.900001525879, 2003, Nov Average, 76.5724, 12.4255
1.3000000715256, 2003, Dec Average, 76.5724, 12.4255
2.7000000476837, 2004, Jan Average, 76.5724, 12.4255
1, 2004, Feb Average, 76.5724, 12.4255
2, 2004, Mar Average, 76.5724, 12.4255
62, 2004, Apr Average, 76.5724, 12.4255
197.80000305176, 2004, May Average, 76.5724, 12.4255
67, 2004, Jun Average, 76.5724, 12.4255
164.19999694824, 2004, Jul Average, 76.5724, 12.4255
59.100002288818, 2004, Aug Average, 76.5724, 12.4255
147.19999694824, 2004, Sep Average, 76.5724, 12.4255
160.90000915527, 2004, Oct Average, 76.5724, 12.4255
39.900001525879, 2004, Nov Average, 76.5724, 12.4255
0.60000002384186, 2004, Dec Average, 76.5724, 12.4255
4.0999999046326, 2005, Jan Average, 76.5724, 12.4255
3, 2005, Feb Average, 76.5724, 12.4255
5.8000001907349, 2005, Mar Average, 76.5724, 12.4255
75.5, 2005, Apr Average, 76.5724, 12.4255
112, 2005, May Average, 76.5724, 12.4255
76.300003051758, 2005, Jun Average, 76.5724, 12.4255
126.5, 2005, Jul Average, 76.5724, 12.4255
95.099998474121, 2005, Aug Average, 76.5724, 12.4255
135.40000915527, 2005, Sep Average, 76.5724, 12.4255
150.5, 2005, Oct Average, 76.5724, 12.4255
71.200004577637, 2005, Nov Average, 76.5724, 12.4255
10.800000190735, 2005, Dec Average, 76.5724, 12.4255
0.60000002384186, 2006, Jan Average, 76.5724, 12.4255
0, 2006, Feb Average, 76.5724, 12.4255
52.100002288818, 2006, Mar Average, 76.5724, 12.4255
33.400001525879, 2006, Apr Average, 76.5724, 12.4255
137.90000915527, 2006, May Average, 76.5724, 12.4255
111.80000305176, 2006, Jun Average, 76.5724, 12.4255
69.400001525879, 2006, Jul Average, 76.5724, 12.4255
60.200000762939, 2006, Aug Average, 76.5724, 12.4255
177.60000610352, 2006, Sep Average, 76.5724, 12.4255
129.90000915527, 2006, Oct Average, 76.5724, 12.4255
45.700000762939, 2006, Nov Average, 76.5724, 12.4255
0.20000000298023, 2006, Dec Average, 76.5724, 12.4255
0.10000000149012, 2007, Jan Average, 76.5724, 12.4255
0.80000001192093, 2007, Feb Average, 76.5724, 12.4255
3, 2007, Mar Average, 76.5724, 12.4255
113.30000305176, 2007, Apr Average, 76.5724, 12.4255
237.69999694824, 2007, May Average, 76.5724, 12.4255
40.700000762939, 2007, Jun Average, 76.5724, 12.4255
119, 2007, Jul Average, 76.5724, 12.4255
126.09999847412, 2007, Aug Average, 76.5724, 12.4255
236.90000915527, 2007, Sep Average, 76.5724, 12.4255
172.10000610352, 2007, Oct Average, 76.5724, 12.4255
46.5, 2007, Nov Average, 76.5724, 12.4255
17.10000038147, 2007, Dec Average, 76.5724, 12.4255
0.20000000298023, 2008, Jan Average, 76.5724, 12.4255
12.5, 2008, Feb Average, 76.5724, 12.4255
58.700000762939, 2008, Mar Average, 76.5724, 12.4255
59.200000762939, 2008, Apr Average, 76.5724, 12.4255
61.200000762939, 2008, May Average, 76.5724, 12.4255
86.099998474121, 2008, Jun Average, 76.5724, 12.4255
171.10000610352, 2008, Jul Average, 76.5724, 12.4255
139.30000305176, 2008, Aug Average, 76.5724, 12.4255
139, 2008, Sep Average, 76.5724, 12.4255
256.60000610352, 2008, Oct Average, 76.5724, 12.4255
44.299999237061, 2008, Nov Average, 76.5724, 12.4255
1.8000000715256, 2008, Dec Average, 76.5724, 12.4255
0.10000000149012, 2009, Jan Average, 76.5724, 12.4255
0, 2009, Feb Average, 76.5724, 12.4255
18.800001144409, 2009, Mar Average, 76.5724, 12.4255
39.600002288818, 2009, Apr Average, 76.5724, 12.4255
119, 2009, May Average, 76.5724, 12.4255
218.60000610352, 2009, Jun Average, 76.5724, 12.4255
