Temperature - (Celsius), Year, Statistics, Longitude, Latitude
26.5, 2009, May Average, 76.0218, 12.8138
24.200000762939, 2009, Jun Average, 76.0218, 12.8138
23.39999961853, 2009, Jul Average, 76.0218, 12.8138
23.700000762939, 2009, Aug Average, 76.0218, 12.8138
24, 2009, Sep Average, 76.0218, 12.8138
24, 2009, Oct Average, 76.0218, 12.8138
23.39999961853, 2009, Nov Average, 76.0218, 12.8138
22.5, 2009, Dec Average, 76.0218, 12.8138
23.10000038147, 2010, Jan Average, 76.0218, 12.8138
24.89999961853, 2010, Feb Average, 76.0218, 12.8138
27.39999961853, 2010, Mar Average, 76.0218, 12.8138
28.300001144409, 2010, Apr Average, 76.0218, 12.8138
26.800001144409, 2010, May Average, 76.0218, 12.8138
24.300001144409, 2010, Jun Average, 76.0218, 12.8138
22.800001144409, 2010, Jul Average, 76.0218, 12.8138
23, 2010, Aug Average, 76.0218, 12.8138
23.60000038147, 2010, Sep Average, 76.0218, 12.8138
24, 2010, Oct Average, 76.0218, 12.8138
23.39999961853, 2010, Nov Average, 76.0218, 12.8138
21.800001144409, 2010, Dec Average, 76.0218, 12.8138
22.5, 2011, Jan Average, 76.0218, 12.8138
24.10000038147, 2011, Feb Average, 76.0218, 12.8138
26.300001144409, 2011, Mar Average, 76.0218, 12.8138
26.800001144409, 2011, Apr Average, 76.0218, 12.8138
26.10000038147, 2011, May Average, 76.0218, 12.8138
23.89999961853, 2011, Jun Average, 76.0218, 12.8138
23.10000038147, 2011, Jul Average, 76.0218, 12.8138
23.200000762939, 2011, Aug Average, 76.0218, 12.8138
23.89999961853, 2011, Sep Average, 76.0218, 12.8138
24.60000038147, 2011, Oct Average, 76.0218, 12.8138
23.300001144409, 2011, Nov Average, 76.0218, 12.8138
22.300001144409, 2011, Dec Average, 76.0218, 12.8138
22.60000038147, 2012, Jan Average, 76.0218, 12.8138
24.39999961853, 2012, Feb Average, 76.0218, 12.8138
26.800001144409, 2012, Mar Average, 76.0218, 12.8138
27.89999961853, 2012, Apr Average, 76.0218, 12.8138
26.700000762939, 2012, May Average, 76.0218, 12.8138
24.39999961853, 2012, Jun Average, 76.0218, 12.8138
23.5, 2012, Jul Average, 76.0218, 12.8138
23.300001144409, 2012, Aug Average, 76.0218, 12.8138
24.10000038147, 2012, Sep Average, 76.0218, 12.8138
24.10000038147, 2012, Oct Average, 76.0218, 12.8138
23.5, 2012, Nov Average, 76.0218, 12.8138
22.800001144409, 2012, Dec Average, 76.0218, 12.8138
23.200000762939, 2013, Jan Average, 76.0218, 12.8138
24.800001144409, 2013, Feb Average, 76.0218, 12.8138
26.800001144409, 2013, Mar Average, 76.0218, 12.8138
28, 2013, Apr Average, 76.0218, 12.8138
26.89999961853, 2013, May Average, 76.0218, 12.8138
23.39999961853, 2013, Jun Average, 76.0218, 12.8138
22.39999961853, 2013, Jul Average, 76.0218, 12.8138
22.89999961853, 2013, Aug Average, 76.0218, 12.8138
23.5, 2013, Sep Average, 76.0218, 12.8138
24.200000762939, 2013, Oct Average, 76.0218, 12.8138
23.60000038147, 2013, Nov Average, 76.0218, 12.8138
22.10000038147, 2013, Dec Average, 76.0218, 12.8138
22.700000762939, 2014, Jan Average, 76.0218, 12.8138
24.39999961853, 2014, Feb Average, 76.0218, 12.8138
26.39999961853, 2014, Mar Average, 76.0218, 12.8138
28.10000038147, 2014, Apr Average, 76.0218, 12.8138
26.60000038147, 2014, May Average, 76.0218, 12.8138
25.200000762939, 2014, Jun Average, 76.0218, 12.8138
23.60000038147, 2014, Jul Average, 76.0218, 12.8138
23.300001144409, 2014, Aug Average, 76.0218, 12.8138
24.10000038147, 2014, Sep Average, 76.0218, 12.8138
24.200000762939, 2014, Oct Average, 76.0218, 12.8138
23.300001144409, 2014, Nov Average, 76.0218, 12.8138
22.300001144409, 2014, Dec Average, 76.0218, 12.8138
22.5, 2015, Jan Average, 76.0218, 12.8138
24.300001144409, 2015, Feb Average, 76.0218, 12.8138
26.39999961853, 2015, Mar Average, 76.0218, 12.8138
26.89999961853, 2015, Apr Average, 76.0218, 12.8138
26.200000762939, 2015, May Average, 76.0218, 12.8138
24, 2015, Jun Average, 76.0218, 12.8138
23.800001144409, 2015, Jul Average, 76.0218, 12.8138
23.800001144409, 2015, Aug Average, 76.0218, 12.8138
24.39999961853, 2015, Sep Average, 76.0218, 12.8138
24.800001144409, 2015, Oct Average, 76.0218, 12.8138
23.39999961853, 2015, Nov Average, 76.0218, 12.8138
23, 2015, Dec Average, 76.0218, 12.8138
23.10000038147, 2016, Jan Average, 76.0218, 12.8138
25.39999961853, 2016, Feb Average, 76.0218, 12.8138
27.5, 2016, Mar Average, 76.0218, 12.8138
28.700000762939, 2016, Apr Average, 76.0218, 12.8138
26.800001144409, 2016, May Average, 76.0218, 12.8138
23.60000038147, 2016, Jun Average, 76.0218, 12.8138
23.300001144409, 2016, Jul Average, 76.0218, 12.8138
23.60000038147, 2016, Aug Average, 76.0218, 12.8138
23.700000762939, 2016, Sep Average, 76.0218, 12.8138
24.5, 2016, Oct Average, 76.0218, 12.8138
23.200000762939, 2016, Nov Average, 76.0218, 12.8138
22.5, 2016, Dec Average, 76.0218, 12.8138
0, 2017, Jan Average, 76.0218, 12.8138
0, 2018, Jan Average, 76.0218, 12.8138
0, 2019, Jan Average, 76.0218, 12.8138
0, 2020, Jan Average, 76.0218, 12.8138
