,Temperature - (Celsius), Year, Statistics, Longitude, Latitude
244,27.100000381470004,2011.0, May Average,76.5724,12.4255
245,25.200000762939,2011.0, Jun Average,76.5724,12.4255
246,24.399999618529996,2011.0, Jul Average,76.5724,12.4255
247,24.5,2011.0, Aug Average,76.5724,12.4255
248,25.100000381470004,2011.0, Sep Average,76.5724,12.4255
249,25.5,2011.0, Oct Average,76.5724,12.4255
250,23.800001144409,2011.0, Nov Average,76.5724,12.4255
251,23.100000381470004,2011.0, Dec Average,76.5724,12.4255
252,23.200000762939,2012.0, Jan Average,76.5724,12.4255
253,25.300001144409,2012.0, Feb Average,76.5724,12.4255
254,27.800001144409,2012.0, Mar Average,76.5724,12.4255
255,28.800001144409,2012.0, Apr Average,76.5724,12.4255
256,27.700000762939,2012.0, May Average,76.5724,12.4255
257,25.700000762939,2012.0, Jun Average,76.5724,12.4255
258,24.800001144409,2012.0, Jul Average,76.5724,12.4255
259,24.700000762939,2012.0, Aug Average,76.5724,12.4255
260,25.300001144409,2012.0, Sep Average,76.5724,12.4255
261,25.0,2012.0, Oct Average,76.5724,12.4255
262,24.100000381470004,2012.0, Nov Average,76.5724,12.4255
263,23.5,2012.0, Dec Average,76.5724,12.4255
264,23.700000762939,2013.0, Jan Average,76.5724,12.4255
265,25.5,2013.0, Feb Average,76.5724,12.4255
266,27.700000762939,2013.0, Mar Average,76.5724,12.4255
267,29.0,2013.0, Apr Average,76.5724,12.4255
268,27.800001144409,2013.0, May Average,76.5724,12.4255
269,24.600000381470004,2013.0, Jun Average,76.5724,12.4255
270,23.700000762939,2013.0, Jul Average,76.5724,12.4255
271,24.200000762939,2013.0, Aug Average,76.5724,12.4255
272,24.700000762939,2013.0, Sep Average,76.5724,12.4255
273,25.100000381470004,2013.0, Oct Average,76.5724,12.4255
274,24.200000762939,2013.0, Nov Average,76.5724,12.4255
275,22.899999618529996,2013.0, Dec Average,76.5724,12.4255
276,23.300001144409,2014.0, Jan Average,76.5724,12.4255
277,25.300001144409,2014.0, Feb Average,76.5724,12.4255
278,27.200000762939,2014.0, Mar Average,76.5724,12.4255
279,28.899999618529996,2014.0, Apr Average,76.5724,12.4255
280,27.600000381470004,2014.0, May Average,76.5724,12.4255
281,26.300001144409,2014.0, Jun Average,76.5724,12.4255
282,24.800001144409,2014.0, Jul Average,76.5724,12.4255
283,24.600000381470004,2014.0, Aug Average,76.5724,12.4255
284,25.300001144409,2014.0, Sep Average,76.5724,12.4255
285,25.0,2014.0, Oct Average,76.5724,12.4255
286,23.800001144409,2014.0, Nov Average,76.5724,12.4255
287,23.100000381470004,2014.0, Dec Average,76.5724,12.4255
288,23.100000381470004,2015.0, Jan Average,76.5724,12.4255
289,25.100000381470004,2015.0, Feb Average,76.5724,12.4255
290,27.300001144409,2015.0, Mar Average,76.5724,12.4255
291,27.800001144409,2015.0, Apr Average,76.5724,12.4255
292,27.100000381470004,2015.0, May Average,76.5724,12.4255
293,25.300001144409,2015.0, Jun Average,76.5724,12.4255
294,25.0,2015.0, Jul Average,76.5724,12.4255
295,25.0,2015.0, Aug Average,76.5724,12.4255
296,25.5,2015.0, Sep Average,76.5724,12.4255
297,25.5,2015.0, Oct Average,76.5724,12.4255
298,23.899999618529996,2015.0, Nov Average,76.5724,12.4255
299,23.700000762939,2015.0, Dec Average,76.5724,12.4255
300,23.700000762939,2016.0, Jan Average,76.5724,12.4255
301,26.200000762939,2016.0, Feb Average,76.5724,12.4255
302,28.399999618529996,2016.0, Mar Average,76.5724,12.4255
303,29.700000762939,2016.0, Apr Average,76.5724,12.4255
304,27.700000762939,2016.0, May Average,76.5724,12.4255
305,24.899999618529996,2016.0, Jun Average,76.5724,12.4255
306,24.399999618529996,2016.0, Jul Average,76.5724,12.4255
307,24.899999618529996,2016.0, Aug Average,76.5724,12.4255
